CrimeHeadID,CrimeGroupName,Active
1,Arms Act,true
2,Arson,true
3,Attempt to Murder,true
4,Burglary,true
5,Chain Snatching,true
6,Cheating,true
7,Cyber Crime,true
8,Domestic Violence,true
9,Dowry Death,true
10,Drug Possession,true
11,Forgery,true
12,Fraud,true
13,Grievous Hurt,true
14,Human Trafficking,true
15,Hurt,true
16,Kidnapping,true
17,Murder,true
18,NDPS Act,true
19,PoCSO Act,true
20,Rape,true
21,Rioting,true
22,Robbery,true
23,Sexual Harassment,true
24,Theft,true
25,Vehicle Theft,true
26,Attempted Murder,true
27,Extortion,true
28,Criminal Intimidation,true
